MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932827,0.1490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0800000
MsgID.LOCAL_POSITION,53.5760000,0.1364641,0.0170164,-0.1495056
MsgID.LOCAL_VELOCITY,53.5760000,-0.0071221,-0.0298441,0.0888238
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932809,0.1430000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,-0.0200000,0.1500000
MsgID.LOCAL_POSITION,53.8260000,-0.0689376,0.0534931,-0.1434352
MsgID.LOCAL_VELOCITY,53.8260000,-0.0217094,-0.0217556,0.1558444
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932807,0.1570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.0760000,-0.0921366,-0.0327472,-0.1570311
MsgID.LOCAL_VELOCITY,54.0760000,-0.0000004,0.0000040,-0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3957537,37.7932820,0.1940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.3000000
MsgID.LOCAL_POSITION,54.3270000,0.0536217,-0.1588792,-0.1947215
MsgID.LOCAL_VELOCITY,54.3270000,-0.0000248,0.0000229,-0.3098637
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932818,0.5350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.3600000
MsgID.LOCAL_POSITION,54.5770000,0.0360172,-0.0012996,-0.5352145
MsgID.LOCAL_VELOCITY,54.5770000,-0.0035478,-0.0029931,-2.3675492
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932802,1.4490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-4.1100000
MsgID.LOCAL_POSITION,54.8280000,-0.1462179,0.0318037,-1.4496049
MsgID.LOCAL_VELOCITY,54.8280000,-0.0011525,-0.0229741,-4.1150680
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932809,2.4510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0300000,-4.5600000
MsgID.LOCAL_POSITION,55.0770000,-0.0652835,0.0045263,-2.4517596
MsgID.LOCAL_VELOCITY,55.0770000,0.0179832,-0.0303014,-4.5679779
MsgID.GLOBAL_POSITION,0.0000000,-122.3957520,37.7932816,3.4070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-2.3000000
MsgID.LOCAL_POSITION,55.3270000,0.0085367,-0.0100540,-3.4071133
MsgID.LOCAL_VELOCITY,55.3270000,0.0198352,-0.0295939,-2.3071892
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932816,3.6390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,0.0800000
MsgID.LOCAL_POSITION,55.5780000,0.0121585,-0.1239650,-3.6394351
MsgID.LOCAL_VELOCITY,55.5780000,0.0186941,-0.0278914,0.0828266
MsgID.GLOBAL_POSITION,0.0000000,-122.3957541,37.7932818,3.3180000
MsgID.LOCAL_VELOCITY,0.0000000,0.2300000,-0.0200000,1.6500000
MsgID.LOCAL_POSITION,55.8280000,0.0275641,-0.1967219,-3.3182452
MsgID.LOCAL_VELOCITY,55.8280000,0.2362090,-0.0218774,1.6561761
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932835,2.9180000
MsgID.LOCAL_VELOCITY,0.0000000,1.7600000,0.0000000,1.1600000
MsgID.LOCAL_POSITION,56.0790000,0.2190736,-0.0579240,-2.9188447
MsgID.LOCAL_VELOCITY,56.0790000,1.7665786,-0.0024935,1.1619292
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932910,2.8250000
MsgID.LOCAL_VELOCITY,0.0000000,4.0800000,0.0000000,-0.6100000
